Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NIMB,01/04/2025,216.8,216.8,210.2,210.87,-1.27%,"65,189.00"
NIMB,30/03/2025,212,216.8,210,213.58,0.94%,"1,29,567.00"
NIMB,27/03/2025,213.7,213.7,209.5,211.59,0.99%,"1,26,571.00"
NIMB,26/03/2025,206,209.9,206,209.51,1.22%,"97,172.00"
NIMB,25/03/2025,214.3,214.3,206.1,206.99,-1.48%,"72,619.00"
NIMB,24/03/2025,208,212.4,206.1,210.1,1.05%,"80,644.00"
NIMB,23/03/2025,209.4,212,207.5,207.91,-1.75%,"94,214.00"
NIMB,20/03/2025,212.8,215.5,211.1,211.61,-1.39%,"1,02,086.00"
NIMB,19/03/2025,215,217,213.8,214.6,-0.46%,"77,883.00"
NIMB,18/03/2025,218,219,215.1,215.6,-0.23%,"41,724.00"
NIMB,17/03/2025,217.7,221,215.1,216.1,-0.73%,"74,714.00"
NIMB,16/03/2025,224.3,224.3,215.5,217.7,-1.05%,"74,085.00"
NIMB,12/03/2025,216.2,222,216.1,220,1.85%,"1,82,469.00"
NIMB,11/03/2025,218.1,220,215.4,216,-0.92%,"76,434.00"
NIMB,10/03/2025,222,226,216.2,218,0.00%,"2,07,706.00"
NIMB,09/03/2025,222,223,217.6,218,-1.80%,"1,38,742.00"
NIMB,06/03/2025,224,224.9,221,222,0.36%,"1,27,070.00"
NIMB,05/03/2025,225.5,227,221.2,221.2,-2.21%,"1,68,501.00"
NIMB,04/03/2025,224.7,233.5,224.7,226.2,-1.31%,"2,08,337.00"
NIMB,03/03/2025,235,237.9,229.1,229.2,-1.84%,"2,50,979.00"
NIMB,02/03/2025,233.5,234.5,229,233.5,1.97%,"3,30,159.00"
NIMB,27/02/2025,226.5,238,226,229,3.11%,"2,66,254.00"
NIMB,25/02/2025,222,225.9,219,222.1,0.05%,"1,28,913.00"
NIMB,24/02/2025,225,226,220.6,222,-0.22%,"1,78,974.00"
NIMB,23/02/2025,215,226,211,222.5,1.88%,"2,15,378.00"
NIMB,20/02/2025,215.6,224,215.6,218.4,-0.73%,"1,14,874.00"
NIMB,18/02/2025,213.7,225.4,213.7,220,0.92%,"2,19,012.00"
NIMB,17/02/2025,214,220.3,211.1,218,2.83%,"2,30,318.00"
NIMB,16/02/2025,210,213,209.6,212,0.86%,"90,629.00"
NIMB,13/02/2025,209,214,209,210.2,0.00%,"67,551.00"
