Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NABIL,01/04/2025,490,493,483,484.56,-0.29%,"37,377.00"
NABIL,30/03/2025,485,492,484,485.96,0.18%,"52,866.00"
NABIL,27/03/2025,490.9,490.9,480,485.09,0.79%,"38,210.00"
NABIL,26/03/2025,485,485,477,481.31,0.25%,"49,757.00"
NABIL,25/03/2025,485,485,478,480.13,-0.81%,"78,144.00"
NABIL,24/03/2025,484.5,486,476.5,484.03,0.29%,"54,964.00"
NABIL,23/03/2025,488,488,482,482.62,-0.96%,"48,632.00"
NABIL,20/03/2025,489,490,487,487.31,-0.33%,"36,716.00"
NABIL,19/03/2025,495,496,487,488.9,-0.51%,"49,272.00"
NABIL,18/03/2025,499.8,499.8,488,491.4,0.29%,"28,929.00"
NABIL,17/03/2025,491.1,498,486,490,-0.22%,"41,530.00"
NABIL,16/03/2025,494.9,494.9,485,491.1,0.02%,"71,238.00"
NABIL,12/03/2025,494,494,489,491,0.00%,"39,132.00"
NABIL,11/03/2025,492,495,486.1,491,0.00%,"45,903.00"
NABIL,10/03/2025,496,500,490,491,-0.81%,"44,625.00"
NABIL,09/03/2025,498,502,493,495,-0.62%,"53,038.00"
NABIL,06/03/2025,502,502,498.1,498.1,-0.18%,"76,130.00"
NABIL,05/03/2025,509.5,509.5,498.5,499,-1.58%,"66,686.00"
NABIL,04/03/2025,520,520,504,507,-1.55%,"1,16,499.00"
NABIL,03/03/2025,523,529.2,515,515,-0.77%,"1,10,922.00"
NABIL,02/03/2025,511.8,519,506,519,3.43%,"1,14,489.00"
NABIL,27/02/2025,498.7,518,498,501.8,2.62%,"1,23,140.00"
NABIL,25/02/2025,490,490,488,489,0.00%,"36,470.00"
NABIL,24/02/2025,490,495,488.5,489,-0.18%,"63,464.00"
NABIL,23/02/2025,485.1,495,485.1,489.9,-1.01%,"84,304.00"
NABIL,20/02/2025,486.1,503.8,486.1,494.9,-0.22%,"44,322.00"
NABIL,18/02/2025,500,500,494,496,0.40%,"60,431.00"
NABIL,17/02/2025,487,495.9,485.3,494,1.44%,"70,310.00"
NABIL,16/02/2025,486.8,488.3,482.9,487,0.31%,"53,350.00"
NABIL,13/02/2025,488,490,482.1,485.5,0.10%,"40,707.00"
NABIL,12/02/2025,487,487,482.1,485,-0.41%,"51,961.00"
NABIL,11/02/2025,492,492,486,487,-0.61%,"29,647.00"
NABIL,10/02/2025,486.5,490,484,490,0.76%,"51,838.00"
NABIL,09/02/2025,495,495,485,486.3,-0.08%,"49,012.00"
NABIL,06/02/2025,494,495,486,486.7,-0.67%,"50,451.00"
NABIL,05/02/2025,491.1,493,489.5,490,-0.61%,"70,028.00"
NABIL,04/02/2025,500,500,490,493,-0.58%,"53,987.00"
NABIL,03/02/2025,492,503,491.4,495.9,0.92%,"1,09,341.00"
NABIL,02/02/2025,479,493.4,476.1,491.4,3.24%,"1,05,241.00"
NABIL,28/01/2025,478,481,475,476,-0.73%,"1,08,959.00"
NABIL,27/01/2025,481,483,477.2,479.5,-0.56%,"62,150.00"
NABIL,26/01/2025,492,492,482.1,482.2,-1.19%,"54,531.00"
NABIL,23/01/2025,490,492,485.3,488,0.41%,"51,932.00"
NABIL,22/01/2025,483,488.8,483,486,0.54%,"62,780.00"
NABIL,21/01/2025,484,489,480.3,483.4,-0.23%,"50,098.00"
NABIL,20/01/2025,490,495,482.2,484.5,-0.76%,"82,199.00"
NABIL,19/01/2025,489,497,485,488.2,-0.18%,"52,392.00"
NABIL,16/01/2025,490,495,487,489.1,-0.08%,"51,859.00"
NABIL,15/01/2025,492.1,494,489,489.5,0.00%,"52,957.00"
NABIL,13/01/2025,491,496,489.5,489.5,-0.22%,"86,269.00"
NABIL,12/01/2025,505.4,505.4,490,490.6,-0.99%,"46,984.00"
NABIL,09/01/2025,499,500,494,495.5,-0.68%,"1,38,476.00"
NABIL,08/01/2025,510,510,497,498.9,-0.22%,"74,206.00"
NABIL,07/01/2025,499,504,498,500,0.20%,"64,195.00"
NABIL,06/01/2025,501.5,501.5,498,499,0.00%,"1,02,420.00"
NABIL,05/01/2025,502,504,498,499,-0.06%,"67,379.00"
NABIL,02/01/2025,502,502,499,499.3,-0.42%,"43,634.00"
NABIL,01/01/2025,502,502.9,500,501.4,-0.12%,"29,808.00"
NABIL,31/12/2024,512.7,512.7,498,502,-0.14%,"53,222.00"
NABIL,29/12/2024,504.1,508.9,499,502.7,0.14%,"64,296.00"
NABIL,26/12/2024,511,511,498,502,0.20%,"1,27,622.00"
NABIL,24/12/2024,503,506,499.1,501,0.00%,"66,517.00"
NABIL,23/12/2024,502.9,502.9,498,501,-0.38%,"86,473.00"
NABIL,22/12/2024,497.9,511,497.9,502.9,-1.00%,"67,080.00"
NABIL,19/12/2024,512,514,508,508,-0.74%,"73,723.00"
NABIL,18/12/2024,501.8,520.4,501.8,511.8,-0.04%,"57,475.00"
NABIL,17/12/2024,513,518,509.1,512,-0.18%,"53,169.00"
NABIL,16/12/2024,520,524,509.7,512.9,-1.37%,"47,147.00"
NABIL,12/12/2024,535,538.5,518.3,520,-1.52%,"56,954.00"
